Page,Unique Events,scalingFactor,SCALED EVENTS
articles/abbreviation_crosby-kate,6,3,18
articles/abbreviation-ea_analayo,5,1,5
articles/abbreviation-ma_analayo,14,1,14
articles/abhidharma_ronkin-noa,16,1.076923077,17
articles/agamas_prasad,8,2.666666667,21
articles/agents-of-change_li-rebecca,2,1,2
articles/anagarika-munindra-and-vipassana_pryor,2,1,2
articles/ancient-indian-education_analayo,17,1,17
articles/angulimala-in-the-sa_analayo,29,1,29
articles/anicca_sharma-arvind,10,2.428571429,24
articles/antinomian-allegory_huxley-andrew,2,1.333333333,3
articles/anuruddha-sutta_ireland,3,1,3
articles/appropriation-of-buddha_bao-willis,4,1,4
articles/apsarases_covill-linda,5,1,5
articles/arahant_ireland,5,1.5,8
articles/arhat-invitation-in-the-song_joo-ryan,2,1,2
articles/assertion-and-restraint_dixon-graham,9,4,36
articles/astrological-determinism_kotyk-j,13,1,13
articles/atha-niryanavrttam_nietupski-paul,2,1,2
articles/atheism-quietism-and-sodomy_offermanns,3,1,3
articles/attitudes-towards-nuns_analayo,14,1,14
articles/avoiding-unintended-harm-to-the-environment_harvey-peter,3,1,3
articles/awakening-to-joy_duddul-pema,6,1,6
articles/bad-karma-of-the-buddha_guang-xing,8,1.714285714,14
articles/bahiya-bare-awareness_analayo,45,1,45
articles/bala-samyutta-comparison_choong-mun-keat,5,1,5
articles/bees-in-india_karttunen-klaus,5,1,5
articles/being-stared-at_sheldrake-rupert,2,1,2
articles/believed-you_sujato,17,1,17
articles/benefits-and-fitfalls-of-a-teacher_mcleod,1,1,1
articles/bhikkhave-and-bhikkhu-as-gender-inclusive_collett-alice,15,1,15
articles/bhikkhuni-dhammadinna_analayo,12,1,12
articles/bhikkhuni-education-today_bodhi,14,1,14
articles/bill-gates-tweeted_matthews-dylan,2,1,2
articles/bodhi-and-arahattaphala_werner-karel,10,1.1,11
articles/bodhisattva-masculinity-on-death-row_cunnell-h,2,1,2
articles/bodhisattva-precepts-and-their-compatability-with-vinaya_chiu-tzulung,2,1,2
articles/bodhisattva-precepts-and-there-compatability-with-vinaya_chiu-tzulung,2,1,2
articles/books-sent-to-ceylon-from-siam-in-the-18th-c_hinuber-bangchang,5,1.333333333,7
articles/brahmas-invitation_analayo,6,1,6
articles/branding-buddha_borup,4,1,4
articles/buddha-as-vedagu_young-katherine,12,1,12
articles/buddha-became-josaphat_pitkin,4,1,4
articles/buddha-nature-in-the-mahayana_liu-mingwood,23,1,23
articles/buddha-pali_karpik-stefan,9,1.19047619,11
articles/buddhapada_welch-patricia,9,1,9
articles/buddhas-remains_wallis-glenn,9,1,9
articles/buddhas-sons_snow-elson,5,1,5
articles/buddhas-truly-praiseworthy-qualities_analayo,5,1.571428571,8
articles/buddhavamsa-of-the-abhayagiri_skilling,8,1,8
articles/buddhicizing-or-ethnicizing-the-state_raghavan-suren,5,1,5
articles/buddhism-and-blackness_vox,2,1,2
articles/buddhism-and-law_huxley-andrew,8,1,8
articles/buddhism-and-modernity_powers-doug,36,2.1875,79
articles/buddhism-changed-the-west_solnit,12,1,12
articles/buddhist-and-jaina-texts_caillat-colette,4,1,4
articles/buddhist-chinese_zhu-qingzhi,10,2.625,26
articles/buddhist-hybrid-english_griffiths-paul,16,1,16
articles/buddhist-practice-as-play_vasen-m,7,1,7
articles/building-resilience-preventing-burnout_pigni-alessandra,3,1,3
articles/building-the-theravada-commentaries_hinuber-oskar,25,1,25
articles/bullshit-jobs_graeber-david,51,1,51
articles/burmese-alms-boycott_kovan-martin,3,1,3
articles/burmese-manuscripts-in-the-loc_pruitt-william,1,1.333333333,1
articles/case-of-the-murdered-monks_mills-laurence,7,1,7
articles/categories-of-sutta_manne-joy,6,2.166666667,13
articles/cause-of-the-buddhas-death_mettanando-hinuber,29,1,29
articles/caveat-lector_cone-margaret,3,2,6
articles/caves-at-aurangabad_brancaccio-pia,7,1.333333333,9
articles/caves-in-western-deccan_brancaccio-pia,8,1,8
articles/cessation-and-axiology_breyer-daniel,9,1.8,16
articles/ceto-panna-and-ubhatobhaga-vimutti_desilva,16,1.666666667,27
articles/challenges-of-the-disengaged-mind_wilson-et-al,35,1.666666667,58
articles/chan_hershock-peter,13,1,13
articles/channa-suicide_analayo,23,1,23
articles/chinese-buddhist-nuns_yuan-yuan,2,1,2
articles/christina-mirabilis_williams-paul,5,1,5
articles/coined-money_fynes-richard,4,1,4
articles/college-sexual-assault-survey,1,1,1
articles/compassion-and-wisdom_khandro,18,1,18
articles/compassion-in-the-agamas-and-nikayas_analayo,14,1,14
articles/compassionate-killing_gethin,43,1,43
articles/compassionate-violence_gray-david,8,1,8
articles/composite-ea-sutra_lamotte,3,1,3
articles/contents-and-structure-of-the-da_hartmann-ju,19,1,19
articles/cosmology-and-meditation_gethin,58,2.259259259,131
articles/craving-dukkha_analayo,27,2.25,61
articles/cremated-like-a-king_hinuber-oskar,29,1,29
articles/crossing-to-the-farthest-shore_shaw-s,6,1,6
articles/cultivation-of-virtue_fink-charles,15,3,45
articles/da16-comparison_disimone-c,3,1,3
articles/debates-on-time_bastow-david,15,1.285714286,19
articles/decline-of-the-dhamma_williams-liz,3,1,3
articles/decoding-two-miracles-of-the-buddha_likhitpreechakul,3,1,3
articles/deploying-the-dharma_ives-christopher,8,1,8
articles/dharmacakramudra-at-ajanta_huntington-chandrasekhar,4,1,4
articles/did-the-buddha-exist_wynne,44,1,44
articles/did-the-buddha-know-sanskrit_gombrich,26,1,26
articles/difficulties-of-combating-inequality-in_jenson-jane-et-al,1,1,1
articles/disengaged-buddhism_lele-amod,13,1,13
articles/diversity-statements_carnes-fine-sheridan,4,1,4
articles/dragon-girl-and-abbess_levering-miriam,7,1,7
articles/dragons-birds-and-cloud-devas_munkeat,6,1,6
articles/ea-4nt_analayo,15,1,15
articles/ea38.2_analayo,5,1,5
articles/early-buddhism-and-urban-revolution_gokhale,3,1,3
articles/early-buddhism-with-kalupahana_payne,24,2.151515152,52
articles/ecstatic-meditation_hagerty-et-al,3,1,3
articles/end-of-the-buddhas-life-ea_bareau-andre,1,1,1
articles/engaged-buddhism_gleig-ann,50,1,50
articles/engaged-buddhism_temprano-victor,11,1,11
articles/engaged-buddhism_yarnall,11,1,11
articles/entering-arising-affliction-rahula_choong-mk,4,1,4
articles/epithets-buddha_ireland,11,1,11
articles/eranos_knox-oliver,3,1,3
articles/establishment-of-the-buddhist-order-of-nuns_husken-ute,16,1,16
articles/ethical-critique-of-wartime-zen_victoria-brian,3,1,3
articles/ethicopolitical-significance-of-mindfulness_ng-edwin,8,1,8
articles/ethics-in-indian-and-tibetan-buddhism_goodman-charles,6,2.5,15
articles/experience-of-dukkha_sumanacara-ashin,13,1,13
articles/exploring-satipatthana_analayo,79,1,79
articles/external-pali-sandhi_norman,1,2.333333333,2
articles/faxian-and-the-establishment-of-quifa_jiyun,1,2.333333333,2
articles/faxians-account-of-anuradhapura_kim-haewon,2,1.5,3
articles/female-authority_dyer-alison,2,1,2
articles/female-roles-in-early-indian-buddhism_skilling-peter,23,1,23
articles/fire-miracles_analayo,4,4,16
articles/followers-of-devadatta_tinti-paola,3,1.2,4
articles/forest-monks_ogi-naoyuki,2,1.2,2
articles/four-eminent-monks-and-their-syncretistic-style_chu-william,10,1,10
articles/four-futures_frase-peter,27,1,27
articles/friendship-power_wilkinson,2,1,2
articles/gamani-samyutta-comparison_choong-mun-keat,4,1,4
articles/garavasutta-and-mahayanist-developments_lamotte-etienne,7,1,7
articles/garlic_vox,7,1,7
articles/genetics-biosocial-groups-and-identity_hacking-ian,1,1,1
articles/giving-makes-us-happy,7,2.75,19
articles/gotamis-poem_murcott-s,3,1,3
articles/gunabhadra-baoyun-and-the-sa_glass-andrew,16,1,16
articles/historical-authenticity_wynne,37,1,37
articles/historical-consciousness-and-traditional-buddhist-narratives_gross-rita,8,1,8
articles/hoary-past-hazy-memory_hinuber-oskar-v,28,1,28
articles/hold-oneself-and-the-dhamma-as-an-island_velez-de-cea,2,1,2
articles/how-to-make-and-spend-money_granoff-phyllis,9,1,9
articles/hypostasizing-buddha-buddha-image_swearer-donald-k,2,1,2
articles/idea-of-nature_marx-leo,2,1,2
articles/idea-of-the-pali-canon_collins-steven,70,1,70
